id,weight,fat,type,price,outlet
FDW58,20.75,Low Fat,Snack Foods,107.8622,Supermarket Type1
FDW14,8.3,reg,Dairy,87.3198,Supermarket Type1
NCN55,14.6,Low Fat,Others,241.7538,Grocery Store
FDQ58,7.315,Low Fat,Snack Foods,155.034,Supermarket Type1
FDY38,,Regular,Dairy,234.23,Supermarket Type3
FDH56,9.8,Regular,Fruits and Vegetables,117.1492,Supermarket Type1
FDL48,19.35,Regular,Baking Goods,50.1034,Supermarket Type2
FDC48,,Low Fat,Baking Goods,81.0592,Supermarket Type3
FDN33,6.305,Regular,Snack Foods,95.7436,Supermarket Type1
FDA36,5.985,Low Fat,Baking Goods,186.8924,Supermarket Type1
FDT44,16.6,Low Fat,Fruits and Vegetables,118.3466,Supermarket Type1
FDQ56,6.59,Low Fat,Fruits and Vegetables,85.3908,Supermarket Type1
NCC54,,Low Fat,Health and Hygiene,240.4196,Grocery Store
FDU11,4.785,Low Fat,Breads,122.3098,Supermarket Type1
DRL59,16.75,LF,Hard Drinks,52.0298,Supermarket Type1
FDM24,6.135,Regular,Baking Goods,151.6366,Supermarket Type1
FDI57,19.85,Low Fat,Seafood,198.7768,Supermarket Type1
DRC12,17.85,Low Fat,Soft Drinks,192.2188,Supermarket Type2
NCM42,,Low Fat,Household,109.6912,Supermarket Type3
FDA46,13.6,Low Fat,Snack Foods,193.7136,Grocery Store
FDA31,7.1,Low Fat,Fruits and Vegetables,175.008,Supermarket Type1
NCJ31,19.2,Low Fat,Others,239.9196,Supermarket Type1
FDG52,13.65,LF,Frozen Foods,47.7402,Supermarket Type1
NCL19,,Low Fat,Others,142.347,Grocery Store
FDS10,19.2,Low Fat,Snack Foods,180.7318,Supermarket Type1
FDX22,6.785,Regular,Snack Foods,209.4928,Grocery Store
NCF19,13,Low Fat,Household,47.6034,Supermarket Type1
NCE06,5.825,Low Fat,Household,161.3894,Supermarket Type1
DRC27,13.8,Low Fat,Dairy,244.6802,Supermarket Type1
FDE21,12.8,LF,Fruits and Vegetables,116.5492,Supermarket Type1
NCR42,,Low Fat,Household,32.09,Grocery Store
FDX51,9.5,Regular,Meat,194.9452,Supermarket Type2
NCR06,12.5,Low Fat,Household,42.4112,Supermarket Type2
FDU31,,Regular,Fruits and Vegetables,217.7508,Supermarket Type3
FDU59,5.78,Low Fat,Breads,164.2552,Supermarket Type1
FDR03,,Regular,Meat,205.098,Supermarket Type3
FDS49,,Low Fat,Canned,80.3644,Supermarket Type3
FDD48,10.395,Low Fat,Baking Goods,114.0176,Grocery Store
NCF18,18.35,Low Fat,Household,192.1504,Supermarket Type1
NCD43,,Low Fat,Household,103.3964,Supermarket Type3
NCD54,21.1,Low Fat,Household,143.3786,Supermarket Type2
FDY19,19.75,LF,Fruits and Vegetables,116.6466,Grocery Store
NCY54,8.43,Low Fat,Household,173.9422,Supermarket Type1
NCL19,15.35,Low Fat,Others,144.847,Supermarket Type2
FDP23,6.71,Low Fat,Breads,217.2166,Grocery Store
FDC26,10.195,Low Fat,Canned,112.1886,Supermarket Type1
FDR14,11.65,Low Fat,Dairy,55.8298,Grocery Store
NCS41,12.85,Low Fat,Health and Hygiene,183.2608,Supermarket Type1
FDF41,12.15,Low Fat,Frozen Foods,248.146,Supermarket Type1
FDU34,18.25,Low Fat,Snack Foods,124.9046,Supermarket Type1
DRH11,5.98,Low Fat,Hard Drinks,57.0614,Supermarket Type1
FDM03,12.65,Low Fat,Meat,106.6938,Supermarket Type1
FDS31,13.1,Regular,Fruits and Vegetables,181.0318,Supermarket Type1
FDJ20,20.7,Regular,Fruits and Vegetables,122.3388,Supermarket Type1
FDV44,,Regular,Fruits and Vegetables,188.7188,Supermarket Type3
FDG02,7.855,Low Fat,Canned,188.8188,Supermarket Type1
FDA09,13.35,Regular,Snack Foods,179.666,Supermarket Type1
FDT04,17.25,LF,Frozen Foods,38.3822,Supermarket Type1
FDL58,,Regular,Snack Foods,263.2568,Grocery Store
FDE52,10.395,Regular,Dairy,90.1514,Supermarket Type1
FDW12,8.315,Regular,Baking Goods,144.8444,Supermarket Type1
FDL51,20.7,Regular,Dairy,214.9876,Supermarket Type1
NCY42,,Low Fat,Household,141.347,Supermarket Type3
FDR07,21.35,Low Fat,Fruits and Vegetables,96.8094,Supermarket Type1
FDN40,5.88,Low Fat,Frozen Foods,152.6998,Supermarket Type1
FDB35,,Regular,Starchy Foods,90.3804,Supermarket Type3
FDA22,7.435,low fat,Starchy Foods,165.8158,Supermarket Type1
NCL06,14.65,Low Fat,Household,262.5594,Supermarket Type1
FDI35,14,Low Fat,Starchy Foods,181.2634,Supermarket Type1
NCW42,18.2,Low Fat,Household,221.6456,Supermarket Type1
NCX06,17.6,Low Fat,Household,180.0976,Supermarket Type1
FDC37,,Low Fat,Baking Goods,108.1938,Supermarket Type3
FDZ14,7.71,Regular,Dairy,122.3756,Supermarket Type2
DRG49,7.81,Low Fat,Soft Drinks,245.2486,Supermarket Type1
NCG06,16.35,Low Fat,Household,256.2646,Supermarket Type1
DRC36,13,Regular,Soft Drinks,173.7054,Supermarket Type1
FDV21,,Low Fat,Snack Foods,124.8704,Grocery Store
FDB53,13.35,Low Fat,Frozen Foods,148.6392,Supermarket Type1
DRP47,,Low Fat,Hard Drinks,252.4382,Grocery Store
FDA14,16.1,LF,Dairy,145.176,Supermarket Type1
DRC24,17.85,Low Fat,Soft Drinks,152.6998,Supermarket Type1
FDW21,5.34,Regular,Snack Foods,100.6358,Supermarket Type2
NCH29,5.51,Low Fat,Health and Hygiene,97.3726,Supermarket Type1
FDU58,6.61,Regular,Snack Foods,188.6898,Supermarket Type1
FDY27,6.38,Low Fat,Dairy,177.6344,Supermarket Type1
FDV56,16.1,Regular,Fruits and Vegetables,108.9596,Supermarket Type1
FDT59,13.65,LF,Breads,230.5668,Supermarket Type1
FDB23,19.2,Regular,Starchy Foods,225.5062,Supermarket Type1
